Wavelength,Flux,BestFit,SkyFlux
4253.045,66.059,67.475,15.046
4254.024,67.408,64.604,14.777
4255.005,65.185,62.248,13.753
4255.984,67.094,63.306,13.642
4256.965,63.598,63.993,14.431
4257.944,63.786,61.925,15.341
4258.926,62.906,60.561,15.228
4259.906,71.382,59.667,13.710
4260.886,72.719,56.225,12.068
4261.869,61.155,51.311,11.947
4262.849,60.424,49.266,12.766
4263.832,56.149,49.530,13.668
4264.813,58.811,49.008,14.577
4265.796,67.121,60.100,14.911
4266.778,89.756,78.640,14.956
4267.759,112.659,88.232,14.787
4268.743,107.034,81.779,14.442
4269.725,83.891,65.029,13.819
4270.710,61.763,51.246,12.954
4271.692,54.125,47.257,12.303
4272.677,56.081,49.041,11.909
4273.660,57.151,49.698,11.920
4274.644,60.438,50.849,12.292
4275.629,60.300,54.555,12.303
4276.613,59.607,57.668,12.817
4277.599,60.215,59.601,14.216
4278.583,60.813,62.922,14.632
4279.570,68.276,63.826,14.345
4280.554,65.592,65.023,13.801
4281.539,68.743,67.956,13.170
4282.526,69.773,68.707,12.848
4283.511,65.824,69.805,13.281
4284.499,64.835,68.845,13.873
4285.485,64.472,67.011,13.863
4286.473,67.995,66.774,13.213
4287.459,65.937,67.801,12.826
4288.446,67.487,68.210,12.828
4289.434,67.557,72.394,12.635
4290.421,64.838,74.041,12.038
4291.411,68.836,74.129,11.678
4292.398,69.021,72.818,12.018
4293.388,69.454,71.265,12.759
4294.375,69.884,71.798,13.421
4295.363,67.129,70.403,13.754
4296.354,67.085,70.583,13.401
4297.342,68.336,70.425,12.458
4298.333,65.347,69.649,11.650
4299.322,68.286,70.173,10.969
4300.313,68.729,72.388,10.063
4301.303,69.553,71.565,9.752
4302.292,67.803,76.831,9.876
4303.284,70.154,78.708,9.960
4304.274,71.366,77.761,10.132
4305.267,72.400,78.672,10.236
4306.257,74.732,80.634,10.067
4307.250,73.424,82.066,9.946
4308.241,70.086,79.299,10.137
4309.232,72.372,75.326,10.403
4310.226,72.995,71.166,10.120
4311.217,68.836,68.623,10.079
4312.212,65.178,70.824,10.715
4313.204,66.935,73.177,11.284
4314.198,68.947,74.241,12.625
4315.191,69.695,79.847,14.185
4316.183,71.998,82.283,14.648
4317.179,73.152,78.064,14.908
4318.172,71.101,77.085,15.561
4319.168,72.185,77.295,16.019
4320.161,76.296,78.837,15.745
4321.157,71.180,78.825,15.359
4322.152,71.544,77.101,15.059
4323.146,67.592,76.123,14.191
4324.143,71.748,77.075,12.855
4325.137,71.622,75.383,11.351
4326.135,71.014,77.094,10.589
4327.130,70.520,77.845,11.021
4328.128,71.093,78.282,12.300
4329.124,71.806,79.074,13.652
4330.119,71.654,77.744,14.323
4331.118,70.805,79.348,14.240
4332.114,71.059,80.303,14.019
4333.113,73.686,81.021,14.202
4334.110,72.820,80.219,14.122
4335.110,72.471,78.180,13.892
